Position,First Name,Last Name,Number,Team Name,Time,Time Gap
1,Christopher,FROOME ,31,TEAM SKY,84h 46' 14'',"00' 00"""
2,Nairo Alexander,QUINTANA ROJAS ,51,MOVISTAR TEAM,84h 47' 26'',01' 12''
3,Alejandro,VALVERDE BELMONTE ,59,MOVISTAR TEAM,84h 51' 39'',05' 25''
4,Vincenzo,NIBALI ,1,ASTANA PRO TEAM,84h 54' 50'',08' 36''
5,Alberto,CONTADOR ,41,TINKOFF-SAXO,84h 56' 02'',09' 48''
6,Robert ,GESINK ,131,TEAM LOTTO NL - JUMBO,84h 57' 01'',10' 47''
7,Bauke,MOLLEMA ,141,TREK FACTORY RACING,85h 01' 28'',15' 14''
8,Mathias,FRANK ,181,IAM CYCLING,85h 01' 53'',15' 39''
9,Romain,BARDET ,12,AG2R LA MONDIALE,85h 02' 14'',16' 00''
10,Pierre,ROLLAND ,121,TEAM EUROPCAR,85h 03' 44'',17' 30''
11,Andrew,TALANSKY ,161,TEAM CANNONDALE-GARMIN,85h 08' 20'',22' 06''
12,Samuel,SANCHEZ ,66,BMC RACING TEAM,85h 09' 04'',22' 50''
13,Serge,PAUWELS ,218,MTN-QHUBEKA,85h 17' 17'',31' 03''
14,Warren,BARGUIL ,82,TEAM GIANT-ALPECIN,85h 17' 29'',31' 15''
15,Geraint,THOMAS ,39,TEAM SKY,85h 17' 53'',31' 39''
16,Thibaut,PINOT ,21,FDJ,85h 25' 06'',38' 52''
17,Roman,KREUZIGER ,44,TINKOFF-SAXO,85h 49' 05'',01h 02' 51''
18,Mikael,CHEREL ,14,AG2R LA MONDIALE,85h 51' 14'',01h 05' 00''
19,Jarlinson,PANTANO GOMEZ ,188,IAM CYCLING,85h 55' 22'',01h 09' 08''
20,Jan,BAKELANTS ,13,AG2R LA MONDIALE,86h 02' 50'',01h 16' 36''
21,Steven,KRUIJSWIJK ,133,TEAM LOTTO NL - JUMBO,86h 07' 41'',01h 21' 27''
22,Tanel,KANGERT ,6,ASTANA PRO TEAM,86h 11' 12'',01h 24' 58''
23,Jakob,FUGLSANG ,3,ASTANA PRO TEAM,86h 11' 37'',01h 25' 23''
24,Jonathan,CASTROVIEJO NICOLAS ,53,MOVISTAR TEAM,86h 12' 19'',01h 26' 05''
25,Jan,BARTA ,192,BORA-ARGON 18,86h 13' 10'',01h 26' 56''
26,Alexis,VUILLERMOZ ,19,AG2R LA MONDIALE,86h 14' 43'',01h 28' 29''
27,Bob,JUNGELS ,147,TREK FACTORY RACING,86h 19' 35'',01h 33' 21''
28,Rafal,MAJKA ,45,TINKOFF-SAXO,86h 21' 20'',01h 35' 06''
29,Joachim,RODRIGUEZ OLIVER ,91,TEAM KATUSHA,86h 22' 21'',01h 36' 07''
30,Ruben,PLAZA MOLINA ,156,LAMPRE - MERIDA,86h 24' 36'',01h 38' 22''
31,Tony,GALLOPIN ,71,LOTTO-SOUDAL,86h 26' 58'',01h 40' 44''
32,Gorka,IZAGIRRE INSAUSTI ,57,MOVISTAR TEAM,86h 27' 48'',01h 41' 34''
33,Romain,SICARD ,127,TEAM EUROPCAR,86h 37' 46'',01h 51' 32''
34,Cyril,GAUTIER ,123,TEAM EUROPCAR,86h 38' 05'',01h 51' 51''
35,Nicolas,ROCHE ,36,TEAM SKY,86h 40' 22'',01h 54' 08''
36,Michael,ROGERS ,46,TINKOFF-SAXO,86h 42' 27'',01h 56' 13''
37,Lars,BAK ,72,LOTTO-SOUDAL,86h 43' 11'',01h 56' 57''
38,Simon,GESCHKE ,86,TEAM GIANT-ALPECIN,86h 44' 28'',01h 58' 14''
39,Daniel,MARTIN ,167,TEAM CANNONDALE-GARMIN,86h 49' 51'',02h 03' 37''
40,Ryder,HESJEDAL ,164,TEAM CANNONDALE-GARMIN,86h 50' 51'',02h 04' 37''
41,Michele,SCARPONI ,7,ASTANA PRO TEAM,86h 51' 17'',02h 05' 03''
42,Rigoberto,URAN URAN ,118,ETIXX-QUICK STEP,86h 54' 34'',02h 08' 20''
43,Luis Angel,MATE MARDONES ,174,"COFIDIS, SOLUTIONS CREDITS",86h 56' 26'',02h 10' 12''
44,Wouter,POELS ,34,TEAM SKY,86h 58' 58'',02h 12' 44''
45,Thomas,VOECKLER ,129,TEAM EUROPCAR,87h 00' 22'',02h 14' 08''
46,Peter,SAGAN ,47,TINKOFF-SAXO,87h 01' 09'',02h 14' 55''
47,Nelson,OLIVEIRA ,155,LAMPRE - MERIDA,87h 01' 46'',02h 15' 32''
48,Richie,PORTE ,35,TEAM SKY,87h 02' 19'',02h 16' 05''
49,Daniel,TEKLEHAIMANOT ,219,MTN-QHUBEKA,87h 02' 29'',02h 16' 15''
50,Adam,YATES ,108,ORICA GREENEDGE,87h 02' 50'',02h 16' 36''
51,Jacques,JANSE VAN RENSBURG ,214,MTN-QHUBEKA,87h 04' 30'',02h 18' 16''
52,Pierrick,FEDRIGO ,204,BRETAGNE - SECHE ENVIRONNEMENT,87h 09' 08'',02h 22' 54''
53,Damiano,CARUSO ,62,BMC RACING TEAM,87h 12' 46'',02h 26' 32''
54,Sylvain,CHAVANEL ,183,IAM CYCLING,87h 15' 42'',02h 29' 28''
55,Bram,TANKINK ,136,TEAM LOTTO NL - JUMBO,87h 16' 26'',02h 30' 12''
56,Michael,SCHAR ,67,BMC RACING TEAM,87h 17' 27'',02h 31' 13''
57,Winner Andrew,ANACONA GOMEZ ,52,MOVISTAR TEAM,87h 17' 28'',02h 31' 14''
58,Alberto,LOSADA ALGUACIL,97,TEAM KATUSHA,87h 18' 44'',02h 32' 30''
59,Stef,CLEMENT ,184,IAM CYCLING,87h 19' 56'',02h 33' 42''
60,Marcel,WYSS ,189,IAM CYCLING,87h 20' 52'',02h 34' 38''
61,Jean-Christophe,PERAUD ,11,AG2R LA MONDIALE,87h 21' 24'',02h 35' 10''
62,Haimar,ZUBELDIA AGIRRE ,149,TREK FACTORY RACING,87h 23' 04'',02h 36' 50''
63,Danilo,WYSS ,69,BMC RACING TEAM,87h 23' 31'',02h 37' 17''
64,Andriy,GRIVKO ,4,ASTANA PRO TEAM,87h 24' 20'',02h 38' 06''
65,Jose,HERRADA LOPEZ ,56,MOVISTAR TEAM,87h 26' 20'',02h 40' 06''
66,Daniel,NAVARRO GARCIA ,175,"COFIDIS, SOLUTIONS CREDITS",87h 29' 48'',02h 43' 34''
67,Thomas,DE GENDT ,73,LOTTO-SOUDAL,87h 34' 16'',02h 48' 02''
68,Christophe,RIBLON ,17,AG2R LA MONDIALE,87h 34' 33'',02h 48' 19''
69,Kristijan,KOREN ,165,TEAM CANNONDALE-GARMIN,87h 37' 58'',02h 51' 44''
70,Leopold,KONIG ,33,TEAM SKY,87h 39' 23'',02h 53' 09''
71,Matthieu,LADAGNOUS ,26,FDJ,87h 39' 36'',02h 53' 22''
72,Tiago,MACHADO ,98,TEAM KATUSHA,87h 40' 45'',02h 54' 31''
73,Koen,DE KORT ,84,TEAM GIANT-ALPECIN,87h 43' 19'',02h 57' 05''
74,Perrig,QUEMENEUR ,126,TEAM EUROPCAR,87h 43' 33'',02h 57' 19''
75,Reto,HOLLENSTEIN ,187,IAM CYCLING,87h 44' 44'',02h 58' 30''
76,Kristijan,DURASEK ,154,LAMPRE - MERIDA,87h 48' 28'',03h 02' 14''
77,Lieuwe,WESTRA ,9,ASTANA PRO TEAM,87h 49' 23'',03h 03' 09''
78,Rafael,VALLS FERRI ,159,LAMPRE - MERIDA,87h 49' 25'',03h 03' 11''
79,Wilco,KELDERMAN ,132,TEAM LOTTO NL - JUMBO,87h 50' 21'',03h 04' 07''
80,Paul,MARTENS ,135,TEAM LOTTO NL - JUMBO,87h 51' 06'',03h 04' 52''
81,Pierre-Luc,PERICHON ,208,BRETAGNE - SECHE ENVIRONNEMENT,87h 52' 02'',03h 05' 48''
82,Edvald,BOASSON HAGEN ,211,MTN-QHUBEKA,87h 54' 16'',03h 08' 02''
83,Emanuel,BUCHMANN ,194,BORA-ARGON 18,87h 55' 01'',03h 08' 47''
84,Merhawi,KUDUS GHEBREMEDHIN ,216,MTN-QHUBEKA,87h 56' 50'',03h 10' 36''
85,Anthony,DELAPLACE ,203,BRETAGNE - SECHE ENVIRONNEMENT,87h 57' 42'',03h 11' 28''
86,Stephen,CUMMINGS ,212,MTN-QHUBEKA,87h 58' 37'',03h 12' 23''
87,Georg,PREIDLER ,87,TEAM GIANT-ALPECIN,88h 00' 28'',03h 14' 14''
88,Florian,VACHON ,209,BRETAGNE - SECHE ENVIRONNEMENT,88h 01' 15'',03h 15' 01''
89,Simon,YATES ,109,ORICA GREENEDGE,88h 02' 18'',03h 16' 04''
90,Gianpaolo,CARUSO ,92,TEAM KATUSHA,88h 03' 17'',03h 17' 03''
91,Angelo ,TULIK ,128,TEAM EUROPCAR,88h 04' 38'',03h 18' 24''
92,Laurens,TEN DAM ,137,TEAM LOTTO NL - JUMBO,88h 04' 57'',03h 18' 43''
93,Markel,IRIZAR ARRANBURU ,146,TREK FACTORY RACING,88h 05' 58'',03h 19' 44''
94,Julien,SIMON ,177,"COFIDIS, SOLUTIONS CREDITS",88h 06' 07'',03h 19' 53''
95,Michal,GOLAS ,113,ETIXX-QUICK STEP,88h 07' 31'',03h 21' 17''
96,Reinardt,JANSE VAN RENSBURG ,215,MTN-QHUBEKA,88h 07' 44'',03h 21' 30''
97,Daniel,OSS ,64,BMC RACING TEAM,88h 08' 28'',03h 22' 14''
98,Brice,FEILLU ,205,BRETAGNE - SECHE ENVIRONNEMENT,88h 09' 25'',03h 23' 11''
99,Paul,VOSS ,199,BORA-ARGON 18,88h 11' 07'',03h 24' 53''
100,Martin,ELMIGER ,186,IAM CYCLING,88h 13' 01'',03h 26' 47''
101,Rohan,DENNIS ,63,BMC RACING TEAM,88h 13' 48'',03h 27' 34''
102,Gregory,RAST ,148,TREK FACTORY RACING,88h 15' 14'',03h 29' 00''
103,Zdenek,STYBAR ,116,ETIXX-QUICK STEP,88h 16' 27'',03h 30' 13''
104,Sep,VANMARCKE ,139,TEAM LOTTO NL - JUMBO,88h 17' 29'',03h 31' 15''
105,Jeremy,ROY ,28,FDJ,88h 18' 26'',03h 32' 12''
106,Roy,CURVERS ,83,TEAM GIANT-ALPECIN,88h 21' 54'',03h 35' 40''
107,Adriano,MALORI ,58,MOVISTAR TEAM,88h 23' 42'',03h 37' 28''
108,Bartosz,HUZARSKI ,196,BORA-ARGON 18,88h 24' 20'',03h 38' 06''
109,John,DEGENKOLB ,81,TEAM GIANT-ALPECIN,88h 25' 57'',03h 39' 43''
110,Bryan,COQUARD ,122,TEAM EUROPCAR,88h 28' 50'',03h 42' 36''
111,Nicolas,EDET ,172,"COFIDIS, SOLUTIONS CREDITS",88h 28' 56'',03h 42' 42''
112,Alexandre,GENIEZ ,25,FDJ,88h 29' 11'',03h 42' 57''
113,Benoit,VAUGRENARD ,29,FDJ,88h 29' 22'',03h 43' 08''
114,Adam,HANSEN ,76,LOTTO-SOUDAL,88h 31' 32'',03h 45' 18''
115,Imanol,ERVITI OLLO ,55,MOVISTAR TEAM,88h 33' 28'',03h 47' 14''
116,Julien,VERMOTE ,119,ETIXX-QUICK STEP,88h 36' 46'',03h 50' 32''
117,Matteo,TRENTIN ,117,ETIXX-QUICK STEP,88h 37' 13'',03h 50' 59''
118,Matteo,BONO ,152,LAMPRE - MERIDA,88h 38' 31'',03h 52' 17''
119,Armindo,FONSECA ,206,BRETAGNE - SECHE ENVIRONNEMENT,88h 39' 27'',03h 53' 13''
120,Manuel,QUINZIATO ,65,BMC RACING TEAM,88h 39' 35'',03h 53' 21''
121,Jos,VAN EMDEN ,138,TEAM LOTTO NL - JUMBO,88h 40' 33'',03h 54' 19''
122,Jose,SERPA SANTANDER ,158,LAMPRE - MERIDA,88h 40' 39'',03h 54' 25''
123,Geoffrey,SOUPE,178,"COFIDIS, SOLUTIONS CREDITS",88h 41' 49'',03h 55' 35''
124,Julian,ARREDONDO MORENO,142,TREK FACTORY RACING,88h 43' 03'',03h 56' 49''
125,Filippo,POZZATO ,157,LAMPRE - MERIDA,88h 44' 34'',03h 58' 20''
126,Marco,HALLER ,94,TEAM KATUSHA,88h 45' 18'',03h 59' 04''
127,Christophe,LAPORTE ,173,"COFIDIS, SOLUTIONS CREDITS",88h 45' 24'',03h 59' 10''
128,Ian,STANNARD ,38,TEAM SKY,88h 45' 51'',03h 59' 37''
129,Tim,WELLENS ,79,LOTTO-SOUDAL,88h 45' 53'',03h 59' 39''
130,Alexander,KRISTOFF ,96,TEAM KATUSHA,88h 47' 20'',04h 01' 06''
131,Dmitriy,GRUZDEV ,5,ASTANA PRO TEAM,88h 47' 26'',04h 01' 12''
132,Matteo,TOSATTO ,48,TINKOFF-SAXO,88h 47' 29'',04h 01' 15''
133,Arnaud,GERARD ,207,BRETAGNE - SECHE ENVIRONNEMENT,88h 48' 20'',04h 02' 06''
134,Andre,GREIPEL ,75,LOTTO-SOUDAL,88h 49' 42'',04h 03' 28''
135,Florian,SENECHAL ,176,"COFIDIS, SOLUTIONS CREDITS",88h 50' 20'',04h 04' 06''
136,Luke,ROWE ,37,TEAM SKY,88h 50' 59'',04h 04' 45''
137,Yohann,GENE ,124,TEAM EUROPCAR,88h 51' 10'',04h 04' 56''
138,Arnaud,DEMARE ,24,FDJ,88h 51' 42'',04h 05' 28''
139,Albert,TIMMER ,89,TEAM GIANT-ALPECIN,88h 51' 44'',04h 05' 30''
140,Jose,PIMANTA COSTA MENDES ,197,BORA-ARGON 18,88h 54' 01'',04h 07' 47''
141,Frederic,BRUN ,202,BRETAGNE - SECHE ENVIRONNEMENT,88h 56' 46'',04h 10' 32''
142,Mark,CAVENDISH ,112,ETIXX-QUICK STEP,88h 58' 19'',04h 12' 05''
143,Ramunas,NAVARDAUSKAS ,168,TEAM CANNONDALE-GARMIN,89h 00' 54'',04h 14' 40''
144,Pieter,WEENING ,107,ORICA GREENEDGE,89h 01' 34'',04h 15' 20''
145,Jens,DEBUSSCHERE ,74,LOTTO-SOUDAL,89h 02' 20'',04h 16' 06''
146,Damien,GAUDIN ,16,AG2R LA MONDIALE,89h 02' 27'',04h 16' 13''
147,Dylan,VAN BAARLE ,169,TEAM CANNONDALE-GARMIN,89h 04' 54'',04h 18' 40''
148,Stijn,DEVOLDER ,144,TREK FACTORY RACING,89h 07' 45'',04h 21' 31''
149,Jacopo,GUARNIERI ,93,TEAM KATUSHA,89h 08' 34'',04h 22' 20''
150,Marcel,SIEBERG ,78,LOTTO-SOUDAL,89h 11' 06'',04h 24' 52''
151,Luke,DURBRIDGE ,103,ORICA GREENEDGE,89h 11' 17'',04h 25' 03''
152,Michael,MATTHEWS ,105,ORICA GREENEDGE,89h 12' 47'',04h 26' 33''
153,Thomas,LEEZER ,134,TEAM LOTTO NL - JUMBO,89h 13' 01'',04h 26' 47''
154,Tyler,FARRAR ,213,MTN-QHUBEKA,89h 18' 46'',04h 32' 32''
155,Davide,CIMOLAI ,153,LAMPRE - MERIDA,89h 19' 35'',04h 33' 21''
156,Matthias,BRANDLE ,182,IAM CYCLING,89h 23' 50'',04h 37' 36''
157,Bryan ,NAULLEAU ,125,TEAM EUROPCAR,89h 26' 26'',04h 40' 12''
158,Kenneth,VANBILSEN ,179,"COFIDIS, SOLUTIONS CREDITS",89h 27' 41'',04h 41' 27''
159,Svein,TUFT ,106,ORICA GREENEDGE,89h 34' 22'',04h 48' 08''
160,Sebastien,CHAVANEL ,23,FDJ,89h 43' 13'',04h 56' 59''
161,Lars,BOOM,2,ASTANA PRO TEAM,DNF,DNF
161,Rein,TAARAMAE,8,ASTANA PRO TEAM,DNF,DNF
161,Ben,GASTAUER,15,AG2R LA MONDIALE,DNF,DNF
161,Johan,VAN SUMMEREN ,18,AG2R LA MONDIALE,DNF,DNF
161,William,BONNET ,22,FDJ,DNF,DNF
161,Steve,MORABITO,27,FDJ,DNF,DNF
161,Peter,KENNAUGH,32,TEAM SKY,DNF,DNF
161,Ivan,BASSO ,42,TINKOFF-SAXO,DNF,DNF
161,Daniele,BENNATI ,43,TINKOFF-SAXO,DNF,DNF
161,Michael Valgren,ANDERSEN ,49,TINKOFF-SAXO,DNF,DNF
161,Alex,DOWSETT ,54,MOVISTAR TEAM,DNF,DNF
161,Tejay,VAN GARGEREN ,61,BMC RACING TEAM,DNF,DNF
161,Greg,VAN AVERMAET ,68,BMC RACING TEAM,DNF,DNF
161,Gregory,HENDERSON ,77,LOTTO-SOUDAL,DNF,DNF
161,Tom,DUMOULIN ,85,TEAM GIANT-ALPECIN,DNF,DNF
161,Ramon,SINKELDAM ,88,TEAM GIANT-ALPECIN,DNF,DNF
161,Dimitry,KOZONTCHUK ,95,TEAM KATUSHA,DNF,DNF
161,Luca,PALOLINI ,99,TEAM KATUSHA,DNF,DNF
161,Simon,GERRANS ,101,ORICA GREENEDGE,DNF,DNF
161,Micahel,ALBASINI ,102,ORICA GREENEDGE,DNF,DNF
161,Daryl,IMPEY ,104,ORICA GREENEDGE,DNF,DNF
161,Michal,KWIATKOWSKI ,111,ETIXX-QUICK STEP,DNF,DNF
161,Tony,MARTIN ,114,ETIXX-QUICK STEP,DNF,DNF
161,Mark,RENSHAW ,115,ETIXX-QUICK STEP,DNF,DNF
161,Fabian,CANCELLARA ,143,TREK FACTORY RACING,DNF,DNF
161,Laurent ,DIDIER,145,TREK FACTORY RACING,DNF,DNF
161,Rui Alberto,COSTA ,151,LAMPRE - MERIDA,DNF,DNF
161,Jack,BAUER ,162,TEAM CANNONDALE-GARMIN,DNF,DNF
161,Nathan,HAAS ,163,TEAM CANNONDALE-GARMIN,DNF,DNF
161,Sebastian,LANGEVELD ,166,TEAM CANNONDALE-GARMIN,DNF,DNF
161,Nacer,BOUHANNI ,171,"COFIDIS, SOLUTIONS CREDITS",DNF,DNF
161,Jerome,COPPEL ,185,IAM CYCLING,DNF,DNF
161,Dominik,NERZ ,191,BORA-ARGON 18,DNF,DNF
161,Sam,BENNETT ,193,BORA-ARGON 18,DNF,DNF
161,Zakkari,DEMPSTER ,195,BORA-ARGON 18,DNF,DNF
161,Andreas,SCHILLINGER ,198,BORA-ARGON 18,DNF,DNF
161,Eduardo,SEPULVEDA ,201,BRETAGNE - SECHE ENVIRONNEMENT,DNF,DNF
161,Louis,MEINTJES ,217,MTN-QHUBEKA,DNF,DNF
